age,height_cm,weight_kg,nationality_name,overall,potential,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,wage_eur
34,179,74,England,86,86,69,90,79,74,84,78,68,60,60,82,85,85,76,91,76,52,54,15,14,7,15,11,180000.0
27,188,78,Brazil,86,88,75,63,75,84,47,78,71,53,82,81,65,68,64,86,64,87,85,13,12,6,8,8,165000.0
27,182,74,Portugal,86,87,86,68,72,85,62,85,84,69,78,85,86,84,80,85,78,82,80,6,9,15,14,14,185000.0
27,191,85,Spain,86,89,58,45,84,82,40,63,61,69,80,78,59,67,57,87,60,87,86,10,11,5,14,5,185000.0
25,180,76,France,86,87,79,75,61,80,77,89,83,70,74,88,94,93,91,85,84,27,21,5,3,5,3,5,120000.0
26,173,64,Portugal,86,87,85,77,51,86,70,92,84,67,76,90,83,77,94,84,92,63,45,9,10,14,12,9,200000.0
26,184,74,Spain,86,89,74,81,67,86,64,82,73,58,83,84,86,90,82,86,69,80,74,13,6,6,11,15,95000.0
25,191,82,Spain,86,89,63,64,78,85,59,78,65,54,83,82,60,62,65,80,65,84,78,10,10,7,14,8,175000.0
26,188,80,Slovakia,86,88,40,42,81,72,40,67,34,30,49,72,76,84,54,86,56,88,82,10,13,12,8,12,150000.0
33,167,68,Argentina,85,85,83,77,38,85,72,85,85,79,80,86,91,83,93,86,93,30,34,8,11,12,9,6,51000.0
34,189,89,Denmark,85,85,18,12,16,44,15,12,13,15,46,40,45,51,61,82,47,14,13,84,78,80,83,90,115000.0
36,183,79,Brazil,85,85,60,40,81,80,61,67,62,61,80,79,52,54,67,82,66,86,84,9,12,5,9,10,105000.0
35,173,67,Spain,85,85,83,72,53,90,82,86,82,77,83,90,70,57,84,85,89,53,29,6,15,7,6,12,44000.0
32,183,79,Switzerland,85,85,13,13,10,40,8,15,12,13,31,25,48,54,55,82,58,19,12,79,81,84,86,86,40000.0
34,185,77,Uruguay,85,85,68,89,88,75,86,74,76,74,52,81,64,68,68,90,57,48,39,12,5,13,13,10,190000.0
30,175,74,Belgium,85,85,77,78,61,85,82,89,83,79,81,88,86,82,87,79,89,27,22,11,12,6,8,8,240000.0
34,190,85,Italy,85,85,44,48,83,81,58,69,56,60,81,79,60,68,59,82,53,85,81,2,2,3,2,4,110000.0
31,191,86,Hungary,85,85,16,10,23,35,10,19,18,11,31,25,42,44,41,81,42,16,20,85,84,76,82,86,87000.0
30,180,80,Germany,85,85,78,80,50,88,75,86,86,80,85,89,66,65,77,86,77,75,67,11,14,5,5,13,185000.0
32,180,71,Germany,85,85,85,84,44,85,85,85,88,85,79,86,76,71,83,86,82,38,54,12,12,13,13,11,95000.0
31,183,83,England,85,85,77,51,74,79,57,79,76,71,77,81,89,94,66,85,69,84,83,12,6,16,15,8,170000.0
32,187,80,Gabon,85,85,76,89,73,77,83,79,81,76,64,81,87,91,77,86,67,29,36,6,9,15,9,9,145000.0
29,176,75,Spain,85,85,85,72,61,86,56,80,85,76,84,83,72,69,73,88,82,81,70,14,12,5,10,13,90000.0
30,176,73,France,85,85,83,84,83,84,86,85,86,85,82,89,80,80,92,89,83,54,49,14,8,14,13,14,220000.0
29,189,78,Netherlands,85,85,49,25,84,75,27,66,45,16,71,75,69,74,61,85,59,87,85,8,10,7,14,13,145000.0
29,181,76,Brazil,85,85,73,78,78,84,83,89,81,65,76,90,77,77,85,86,86,64,42,8,11,9,6,10,185000.0
27,176,78,Netherlands,85,86,84,83,65,81,74,86,85,83,76,85,81,83,80,83,81,31,20,8,14,6,12,10,220000.0
29,173,73,Spain,85,85,82,51,72,83,49,78,76,47,74,83,79,80,79,83,81,82,84,13,13,15,9,15,210000.0
29,180,68,Italy,85,85,75,64,56,92,71,79,75,76,89,87,61,50,77,82,72,81,71,14,7,13,14,8,170000.0
25,176,77,Germany,85,86,74,86,42,82,83,88,74,62,78,83,90,77,87,86,88,44,43,14,10,10,9,7,110000.0
26,191,76,Serbia,85,87,64,80,86,85,74,84,80,78,85,86,66,70,62,83,63,79,74,7,10,7,16,7,100000.0
24,183,74,Nigeria,85,88,53,50,72,78,68,72,60,60,75,77,65,68,69,88,66,90,85,13,14,7,7,13,120000.0
24,181,79,Spain,85,89,82,84,60,83,74,85,77,71,73,85,83,81,83,81,80,32,30,10,6,10,13,11,57000.0
23,174,72,Argentina,85,89,56,85,87,78,88,83,78,43,73,85,86,83,86,89,89,31,44,11,8,8,8,13,145000.0
23,186,70,England,85,89,80,83,68,80,73,86,83,76,71,84,86,93,84,84,75,38,33,11,6,15,7,14,150000.0
22,181,73,Morocco,85,88,86,73,68,81,60,84,68,55,73,83,95,95,86,84,79,78,76,10,8,14,6,8,100000.0
21,189,89,Netherlands,85,90,52,50,85,75,45,65,48,55,63,73,71,75,60,84,62,85,85,12,11,11,12,10,81000.0
39,195,95,Sweden,84,84,72,86,83,80,88,78,80,75,73,86,64,66,71,83,53,37,24,13,15,10,9,12,51000.0
35,172,60,Spain,84,84,85,65,73,83,75,84,82,46,79,83,90,84,82,84,84,77,79,10,10,15,7,13,30000.0
34,194,85,Spain,84,84,57,65,84,80,57,63,58,43,80,80,50,64,57,85,35,85,83,10,11,14,15,8,175000.0
34,169,61,Belgium,84,84,73,84,40,84,70,88,82,82,72,88,90,80,93,80,92,40,40,7,10,8,10,4,105000.0
30,175,74,Netherlands,84,84,72,75,78,87,73,85,78,73,81,88,78,76,84,86,88,80,70,16,6,14,12,6,115000.0
31,182,80,England,84,84,82,73,65,85,71,78,80,74,87,83,67,66,69,85,68,81,76,7,13,7,9,13,140000.0
33,183,76,Brazil,84,84,62,54,74,84,56,71,65,53,79,78,65,67,70,83,62,85,83,7,5,9,3,5,43000.0
30,173,69,England,84,84,86,54,79,81,58,74,86,82,80,82,74,73,73,81,77,81,80,11,14,8,11,10,74000.0
33,176,67,Spain,84,84,80,89,77,80,83,87,79,83,73,86,78,86,90,84,72,21,18,12,16,9,12,13,46000.0
30,192,82,Spain,84,84,17,13,21,48,13,18,21,19,43,38,57,58,63,83,43,21,13,86,79,76,79,87,120000.0
29,180,78,Austria,84,84,80,60,74,85,67,77,77,85,80,84,78,77,76,88,77,83,82,5,7,14,15,9,195000.0
28,183,74,Spain,84,84,69,77,49,92,76,85,86,79,90,91,61,59,69,74,83,58,52,6,8,6,12,11,95000.0
32,181,76,Serbia,84,84,86,83,66,87,80,85,85,79,80,87,67,70,76,83,84,34,26,11,11,14,9,16,32000.0
30,170,68,France,84,84,74,88,74,82,84,87,82,76,66,87,83,81,91,86,91,33,26,6,13,9,7,7,88000.0
27,178,74,France,84,84,88,60,71,81,68,78,83,83,73,84,81,77,74,83,78,83,84,6,12,9,6,13,110000.0
33,190,79,Slovenia,84,84,82,85,58,86,83,88,85,83,77,88,76,74,83,80,73,32,26,13,13,8,12,6,84000.0
28,195,88,Argentina,84,85,22,16,26,50,13,13,22,20,51,35,59,57,49,80,49,20,20,85,83,82,83,85,81000.0
28,194,100,England,84,86,51,48,87,78,47,71,48,46,84,76,47,53,50,84,41,83,78,14,16,9,14,9,155000.0
30,187,80,Montenegro,84,84,35,34,84,73,27,47,34,28,72,67,60,67,59,83,45,86,83,14,13,14,13,12,74000.0
27,178,76,Austria,84,85,74,81,60,84,82,79,76,78,81,82,75,81,75,86,80,70,59,11,13,14,15,13,110000.0
25,181,75,England,84,86,85,44,78,82,56,80,83,54,69,82,76,81,75,82,77,83,79,10,12,13,7,7,140000.0
25,180,81,England,84,85,81,77,36,85,72,89,78,74,82,88,81,79,85,79,84,49,43,11,6,11,10,13,180000.0
27,191,86,Germany,84,85,68,55,84,79,53,61,44,42,78,75,54,69,55,86,49,89,79,12,10,6,8,10,45000.0
32,190,84,Brazil,84,84,45,39,83,73,44,57,32,30,69,64,55,66,66,81,52,85,82,9,11,14,9,7,74000.0
27,185,73,Belgium,84,84,81,81,53,79,70,88,81,79,73,85,89,88,87,80,73,47,35,9,11,9,10,10,81000.0
28,184,82,Serbia,84,84,91,75,59,80,70,85,79,80,75,82,89,88,76,82,79,72,68,13,14,12,12,13,52000.0
28,181,65,Morocco,84,84,88,73,52,86,74,83,90,78,89,85,79,77,85,84,78,56,40,11,7,11,8,14,170000.0
27,170,71,Portugal,84,84,84,77,43,88,79,88,85,82,82,87,84,67,88,86,90,79,78,12,6,8,11,8,79000.0
27,175,70,Portugal,84,84,82,66,67,82,59,81,78,52,77,83,82,83,79,83,82,84,83,16,12,15,11,11,130000.0
25,180,76,Germany,84,87,69,81,76,79,84,82,70,58,55,84,93,89,82,87,76,20,19,9,9,8,15,9,155000.0
25,191,89,France,84,89,18,15,17,55,16,32,28,16,46,40,49,51,39,82,55,16,19,83,81,85,84,86,45000.0
28,181,68,Croatia,84,84,72,69,70,85,65,76,79,74,84,84,70,68,79,76,84,81,80,8,8,15,11,8,130000.0
24,176,72,Belgium,84,87,82,74,67,89,78,79,81,78,88,85,67,59,67,83,77,73,69,6,8,10,14,12,125000.0
26,185,79,Uruguay,84,88,47,37,83,70,30,54,36,44,67,66,70,69,52,78,40,87,86,9,11,7,10,15,74000.0
27,173,75,France,84,84,79,83,49,84,77,88,83,79,78,87,88,79,82,79,91,42,30,15,9,8,14,15,42000.0
25,183,80,Germany,84,87,83,81,72,81,85,87,83,82,64,84,91,89,84,79,79,32,35,8,12,9,9,14,105000.0
24,172,68,Italy,84,89,69,69,53,86,75,83,75,67,79,87,80,76,91,89,90,75,79,11,5,13,14,11,120000.0
29,172,69,Argentina,84,84,87,66,58,82,68,87,88,75,78,88,77,76,83,83,90,84,82,8,14,13,13,14,45000.0
25,185,84,Portugal,84,85,60,87,86,79,84,84,76,33,63,85,77,71,77,86,75,40,21,14,13,7,11,8,110000.0
24,183,88,Ivory Coast,84,86,66,67,68,83,60,78,58,48,75,84,76,79,72,81,79,84,78,9,11,12,12,10,51000.0
23,184,81,France,84,90,84,68,74,78,66,83,69,64,68,79,92,94,78,84,75,79,80,12,10,7,7,7,51000.0
22,188,82,Germany,84,92,72,81,78,84,80,86,84,53,78,85,77,86,78,83,75,46,38,6,8,11,10,12,130000.0
21,171,69,England,84,92,75,79,47,84,59,86,73,59,78,88,86,82,90,83,91,59,47,8,15,6,10,13,125000.0
36,179,67,Brazil,83,83,68,66,71,83,70,76,68,71,81,81,67,52,69,86,77,85,80,12,11,5,13,7,100000.0
32,177,77,Mexico,83,83,78,85,67,81,82,84,84,71,66,85,81,80,80,83,83,22,14,8,14,8,13,10,17000.0
32,186,81,Belgium,83,83,69,71,84,90,77,78,71,68,83,81,60,61,71,85,70,80,80,5,7,7,10,7,72000.0
32,189,87,Spain,83,83,24,14,13,39,15,15,23,22,39,14,59,54,62,80,58,15,14,85,83,78,81,83,37000.0
32,190,86,Denmark,83,83,50,55,81,76,37,50,52,69,72,70,63,71,57,79,53,85,81,6,10,13,10,15,54000.0
35,193,80,Bosnia and Herzegovina,83,83,63,85,83,77,77,78,65,54,78,86,64,67,62,80,55,28,16,9,11,13,15,15,105000.0
32,190,94,Germany,83,83,69,34,83,77,52,64,53,31,83,71,63,80,55,85,52,84,84,7,12,15,6,5,81000.0
31,178,77,Spain,83,83,80,46,77,79,51,68,68,58,80,77,69,63,67,86,73,85,84,13,9,10,6,5,125000.0
32,183,80,Brazil,83,83,67,83,85,82,75,82,66,75,76,83,73,71,72,82,85,79,75,16,16,11,6,8,61000.0
28,170,66,Spain,83,83,81,79,43,85,68,87,84,78,74,87,84,78,91,80,94,55,38,10,5,5,13,12,44000.0
30,176,65,Spain,83,83,81,79,50,84,67,82,85,84,87,83,85,82,83,83,79,71,58,15,12,16,13,12,38000.0
31,192,83,Finland,83,83,11,11,11,30,9,10,11,15,33,20,38,44,43,82,39,10,13,85,78,69,83,87,55000.0
30,180,80,Brazil,83,83,84,55,76,81,68,79,78,59,71,80,78,83,78,80,77,80,80,7,7,9,12,5,95000.0
29,190,83,Germany,83,84,9,9,13,50,10,16,9,8,48,35,55,56,52,78,44,15,18,85,80,76,83,85,87000.0
30,189,83,Greece,83,83,27,25,80,65,16,54,30,10,61,66,77,84,70,81,60,85,87,8,6,8,15,12,80000.0
32,177,75,Armenia,83,83,77,80,68,83,79,84,81,66,71,83,86,85,84,82,83,53,55,5,11,14,5,7,82000.0
33,179,72,Colombia,83,83,84,70,67,81,70,90,80,69,69,85,91,89,94,82,81,80,83,5,5,13,6,9,95000.0
29,194,90,Cameroon,83,83,54,36,84,77,50,69,63,22,74,72,50,65,51,84,42,86,81,11,15,10,7,10,130000.0
30,196,92,Uruguay,83,83,17,55,82,74,48,65,39,19,72,70,65,70,37,77,31,86,85,16,13,15,16,13,21000.0
33,192,88,Italy,83,83,25,37,82,75,39,65,62,56,79,72,64,62,32,85,35,87,85,11,9,9,13,11,75000.0
30,175,74,Brazil,83,83,72,73,56,83,56,81,68,49,80,82,77,68,78,84,86,87,82,13,13,5,5,8,100000.0
28,179,85,Germany,83,83,78,86,76,81,85,80,79,80,74,80,76,70,75,85,83,50,33,8,7,9,7,12,83000.0
28,190,84,Spain,83,83,72,84,86,78,80,83,78,44,60,83,79,85,72,80,63,14,20,4,5,4,4,5,84000.0
28,181,75,Argentina,83,83,47,87,85,76,85,76,76,52,54,80,70,68,68,84,75,24,20,13,9,5,7,9,120000.0
28,186,75,Italy,83,83,84,60,69,78,59,83,66,41,64,80,94,91,80,82,69,77,75,11,13,12,15,14,72000.0
27,188,76,England,83,86,62,52,84,83,44,72,52,37,75,83,67,73,61,82,59,85,82,7,15,11,10,8,140000.0
29,199,76,England,83,83,11,14,11,32,14,15,13,12,35,24,50,47,36,78,42,15,14,81,83,75,83,84,45000.0
30,188,81,Mexico,83,83,73,84,85,81,82,84,75,51,75,82,63,80,75,82,65,38,30,7,11,13,14,10,120000.0
27,185,77,England,83,85,17,19,15,55,20,14,18,16,56,40,53,44,55,80,55,20,12,83,78,87,80,86,83000.0
28,190,85,Germany,83,84,68,32,81,76,34,60,35,56,73,69,64,84,56,82,50,86,82,14,15,10,12,8,130000.0
26,188,84,Argentina,83,83,79,86,77,80,81,85,80,65,72,84,80,82,79,85,61,61,55,11,8,15,12,7,46000.0
27,176,80,Croatia,83,84,73,61,42,90,76,89,79,70,82,89,77,65,87,81,84,73,66,9,5,6,7,7,135000.0
28,185,77,Ghana,83,83,74,66,68,87,56,84,69,70,85,83,63,74,75,82,50,84,80,11,13,9,9,7,115000.0
26,172,66,Spain,83,86,80,61,58,81,58,79,80,49,75,82,81,85,82,84,78,82,84,13,10,9,12,9,48000.0
25,171,66,France,83,86,83,75,54,83,76,88,85,81,76,86,84,80,88,81,82,59,63,11,15,13,7,14,71000.0
25,185,84,Denmark,83,86,66,65,65,83,60,76,70,74,80,80,58,61,65,82,64,84,72,9,7,12,11,11,105000.0
26,171,70,Argentina,83,86,75,85,69,82,80,88,82,65,66,87,86,85,90,84,87,53,44,13,10,9,8,16,80000.0
30,189,88,Colombia,83,83,44,88,83,74,79,79,55,62,47,82,78,81,67,82,58,24,22,9,9,8,6,8,77000.0
30,177,73,Croatia,83,83,76,87,69,81,85,87,79,78,63,86,76,67,84,84,86,20,26,8,14,14,7,15,59000.0
24,175,69,Spain,83,86,88,70,65,81,63,84,83,76,81,84,85,73,83,82,85,74,80,13,6,13,13,13,77000.0
25,184,79,France,83,86,78,53,82,74,46,65,59,39,63,76,77,77,70,85,68,85,86,10,7,8,14,10,85000.0
25,182,76,Spain,83,86,81,77,57,81,79,84,84,76,80,86,83,81,80,78,75,42,39,13,9,6,12,10,190000.0
28,197,84,Netherlands,83,83,42,87,92,76,83,65,40,37,43,79,59,66,62,85,44,67,30,11,9,14,16,12,95000.0
26,183,76,Germany,83,83,82,79,82,80,71,80,69,58,77,82,79,84,71,86,66,78,79,7,16,15,16,10,65000.0
25,189,83,Spain,83,87,77,79,81,84,58,83,80,69,82,84,73,75,76,84,72,84,76,9,12,9,13,14,47000.0
25,189,80,France,83,87,59,31,80,80,33,63,50,32,75,78,80,81,69,80,60,86,84,7,8,14,15,9,90000.0
26,180,73,France,83,86,78,63,72,80,50,80,72,35,78,78,91,92,81,82,78,81,80,7,16,9,10,9,170000.0
23,183,72,England,83,87,73,46,51,76,43,80,74,45,58,76,82,88,84,83,72,87,92,9,8,6,8,8,115000.0
29,177,75,Brazil,83,83,83,74,64,83,76,85,86,78,82,83,90,87,86,84,71,35,33,12,12,13,15,13,49000.0
24,171,73,Brazil,83,85,79,59,51,88,69,87,83,60,85,90,71,67,85,84,90,73,71,6,13,13,11,12,90000.0
24,175,73,Brazil,83,87,66,84,77,77,77,86,76,54,66,86,87,82,91,86,87,30,28,13,8,6,6,15,150000.0
24,178,67,France,83,88,81,75,43,78,76,89,82,64,76,84,94,93,89,78,80,30,33,6,6,14,10,13,165000.0
22,178,70,England,83,89,82,79,59,86,75,82,81,83,83,85,77,71,80,84,76,57,41,11,12,13,8,12,120000.0
29,197,86,Senegal,83,85,10,5,10,39,9,13,13,14,46,31,36,33,48,80,27,11,13,83,82,78,81,84,105000.0
23,175,70,Italy,83,91,73,79,50,78,80,89,78,52,72,82,91,91,87,83,81,44,44,6,7,8,9,7,74000.0
22,182,78,Uruguay,83,89,66,69,59,85,70,79,70,66,84,82,82,90,76,84,68,80,76,6,10,6,15,8,160000.0
22,181,75,France,83,89,45,47,79,80,32,69,42,26,75,74,81,81,71,85,74,85,83,11,10,8,14,13,33000.0
21,181,72,Portugal,83,91,73,79,69,80,81,86,82,64,67,87,81,83,86,83,79,42,35,13,12,14,13,14,61000.0
38,188,80,Portugal,82,82,46,46,81,73,23,58,44,47,75,60,79,81,62,81,48,82,81,8,15,5,9,10,14000.0
35,190,82,Spain,82,82,38,27,77,74,31,59,53,45,72,71,48,34,49,82,53,87,85,8,6,5,9,8,30000.0
36,190,83,Poland,82,82,14,13,11,20,17,14,18,12,32,22,50,47,53,75,44,12,13,82,82,71,83,82,43000.0
34,192,85,Italy,82,82,13,10,11,23,12,15,11,11,28,18,46,46,52,78,55,11,13,82,77,76,84,80,20000.0
33,184,78,Croatia,82,82,84,77,59,85,81,79,88,82,86,82,59,56,69,80,59,77,72,14,11,12,5,9,39000.0
31,185,82,Wales,82,82,86,82,84,80,85,80,91,87,79,83,80,83,78,78,64,53,50,15,15,11,5,6,170000.0
33,190,84,Portugal,82,82,12,12,11,34,16,20,10,16,32,25,53,57,61,76,54,13,11,82,80,77,80,83,51000.0
33,174,75,Argentina,82,82,80,71,55,84,65,83,83,81,87,84,63,61,76,82,80,77,74,13,8,7,7,10,46000.0
31,178,72,Bosnia and Herzegovina,82,82,80,56,60,84,72,81,86,92,82,83,67,64,74,83,80,77,71,7,7,13,7,8,155000.0
31,181,80,Spain,82,82,83,61,74,80,63,72,80,55,72,79,81,84,80,80,78,80,76,12,13,9,8,11,35000.0
32,181,80,Germany,82,82,74,84,65,85,85,82,77,75,79,84,63,59,70,84,79,62,55,7,10,13,11,12,41000.0
29,179,70,Brazil,82,82,81,78,59,85,72,81,77,78,84,83,82,74,87,78,86,59,55,12,10,15,12,12,38000.0
30,189,88,Germany,82,82,13,13,11,25,12,10,14,12,12,24,45,52,42,82,37,14,10,82,78,79,82,84,31000.0
29,172,68,Brazil,82,82,78,75,48,80,78,89,90,86,77,89,74,65,89,80,92,54,47,12,7,9,14,6,165000.0
29,181,76,Denmark,82,82,86,73,52,89,80,77,89,87,90,90,63,62,72,79,81,57,22,9,14,7,7,6,120000.0
